item_id,name,category,supplier_info,stock_info,pricing_info,quality_metrics,storage_info,usage_metrics,sustainability_info
INV_4834,Seasonal Flour,"{'main_category': 'Frozen', 'sub_category': 'Ambient', 'storage_type': 'Dry Storage', 'shelf_life': 190}","{'supplier_name': 'Supplier_319', 'supplier_type': 'Local Farm', 'delivery_frequency': 'Weekly', 'lead_time': 14, 'quality_rating': 3.6396308880845236, 'reliability_score': 0.8480779380248474}","{'current_stock': 508, 'minimum_stock': 36, 'maximum_stock': 1531, 'reorder_point': 96, 'reorder_quantity': 302, 'stock_turnover_rate': 1.7042306371956792, 'stock_value': 5296.222036768432}","{'unit_price': 5.87, 'bulk_price': 4.7, 'wholesale_price': 4.11, 'price_history': {'last_month': 5.9, 'last_quarter': 6.68, 'last_year': 4.49}, 'price_trend': 'decreasing'}","{'quality_grade': 'B', 'freshness_score': 0.7128193723627554, 'consistency_score': 0.7392215001023282, 'quality_issues': ['packaging issues'], 'quality_improvements': ['quality control measures']}","{'storage_location': 'Refrigeration', 'temperature_range': {'min': -1.681477975283233, 'max': 4.846591144067639}, 'humidity_range': {'min': 47.756510181637765, 'max': 66.85278938025532}, 'storage_requirements': ['store in cool place']}","{'daily_usage': 98.64015943629508, 'weekly_usage': 430.8737870136552, 'monthly_usage': 354.0906761454483, 'usage_trend': 'increasing', 'waste_rate': 0.018265359749645833, 'efficiency_score': 0.9441319699943362}","{'sustainability_rating': 0.23726350684052233, 'environmental_impact': 'high', 'sustainable_practices': ['recyclable packaging'], 'certifications': ['fair trade', 'organic']}"
INV_3884,Premium Fish,"{'main_category': 'Produce', 'sub_category': 'Refrigerated', 'storage_type': 'Refrigeration', 'shelf_life': 147}","{'supplier_name': 'Supplier_766', 'supplier_type': 'Specialty Importer', 'delivery_frequency': 'Monthly', 'lead_time': 10, 'quality_rating': 4.971936489352923, 'reliability_score': 0.9248376705141464}","{'current_stock': 501, 'minimum_stock': 57, 'maximum_stock': 1634, 'reorder_point': 95, 'reorder_quantity': 497, 'stock_turnover_rate': 5.469296268745848, 'stock_value': 5322.15329936464}","{'unit_price': 8.08, 'bulk_price': 6.47, 'wholesale_price': 5.66, 'price_history': {'last_month': 8.72, 'last_quarter': 8.76, 'last_year': 10.38}, 'price_trend': 'increasing'}","{'quality_grade': 'A', 'freshness_score': 0.942632956452147, 'consistency_score': 0.7236624694752983, 'quality_issues': [], 'quality_improvements': []}","{'storage_location': 'Dry Storage', 'temperature_range': {'min': 8.355221117130075, 'max': 18.87260979702317}, 'humidity_range': {'min': 40.58856812976009, 'max': 78.37376578117397}, 'storage_requirements': ['keep dry', 'refrigerate after opening']}","{'daily_usage': 82.25227840221241, 'weekly_usage': 168.1294676371709, 'monthly_usage': 385.98515087109143, 'usage_trend': 'decreasing', 'waste_rate': 0.016139731089629246, 'efficiency_score': 0.9626488681644569}","{'sustainability_rating': 0.0630518011206529, 'environmental_impact': 'medium', 'sustainable_practices': [], 'certifications': ['sustainable seafood']}"
INV_5262,Specialty Beef,"{'main_category': 'Frozen', 'sub_category': 'Canned', 'storage_type': 'Produce Storage', 'shelf_life': 296}","{'supplier_name': 'Supplier_688', 'supplier_type': 'Local Producer', 'delivery_frequency': 'Weekly', 'lead_time': 10, 'quality_rating': 4.890575529689452, 'reliability_score': 0.9731838959147536}","{'current_stock': 963, 'minimum_stock': 28, 'maximum_stock': 1539, 'reorder_point': 176, 'reorder_quantity': 234, 'stock_turnover_rate': 11.90628700142158, 'stock_value': 2310.0867326944317}","{'unit_price': 93.86, 'bulk_price': 75.09, 'wholesale_price': 65.71, 'price_history': {'last_month': 94.0, 'last_quarter': 77.09, 'last_year': 89.48}, 'price_trend': 'increasing'}","{'quality_grade': 'C', 'freshness_score': 0.9102127418684215, 'consistency_score': 0.7111512720143656, 'quality_issues': [], 'quality_improvements': ['improved packaging']}","{'storage_location': 'Wine Cellar', 'temperature_range': {'min': -15.542950675826468, 'max': 3.4404420295756326}, 'humidity_range': {'min': 46.61564532420164, 'max': 78.7033344234417}, 'storage_requirements': ['store in cool place', 'keep dry']}","{'daily_usage': 67.1450133157301, 'weekly_usage': 144.03770668284898, 'monthly_usage': 814.3466242379991, 'usage_trend': 'stable', 'waste_rate': 0.011258741706613385, 'efficiency_score': 0.7474230230529996}","{'sustainability_rating': 0.44813161265330836, 'environmental_impact': 'medium', 'sustainable_practices': [], 'certifications': ['rainforest alliance']}"
INV_6070,Wild-caught Flour,"{'main_category': 'Seafood', 'sub_category': 'Ambient', 'storage_type': 'Refrigeration', 'shelf_life': 255}","{'supplier_name': 'Supplier_400', 'supplier_type': 'Wholesale Distributor', 'delivery_frequency': 'Daily', 'lead_time': 9, 'quality_rating': 3.1378444082074584, 'reliability_score': 0.8884409105961055}","{'current_stock': 884, 'minimum_stock': 88, 'maximum_stock': 294, 'reorder_point': 47, 'reorder_quantity': 268, 'stock_turnover_rate': 4.814864032967245, 'stock_value': 7922.389837911147}","{'unit_price': 20.55, 'bulk_price': 16.44, 'wholesale_price': 14.38, 'price_history': {'last_month': 22.19, 'last_quarter': 22.29, 'last_year': 26.33}, 'price_trend': 'increasing'}","{'quality_grade': 'A', 'freshness_score': 0.8761911043942968, 'consistency_score': 0.7796323514535602, 'quality_issues': ['delivery delays'], 'quality_improvements': ['quality control measures', 'improved packaging']}","{'storage_location': 'Refrigeration', 'temperature_range': {'min': 4.390222501196757, 'max': 20.69438289650026}, 'humidity_range': {'min': 40.63715284969259, 'max': 61.37858773513793}, 'storage_requirements': []}","{'daily_usage': 1.452337033628738, 'weekly_usage': 459.7200822538266, 'monthly_usage': 836.8362571105544, 'usage_trend': 'increasing', 'waste_rate': 0.09592503477836757, 'efficiency_score': 0.9310950445250537}","{'sustainability_rating': 0.5978515128709894, 'environmental_impact': 'high', 'sustainable_practices': [], 'certifications': ['rainforest alliance']}"
INV_9545,Premium Cheese,"{'main_category': 'Dry Goods', 'sub_category': 'Frozen', 'storage_type': 'Produce Storage', 'shelf_life': 163}","{'supplier_name': 'Supplier_440', 'supplier_type': 'Wholesale Distributor', 'delivery_frequency': 'Daily', 'lead_time': 7, 'quality_rating': 4.105061347599619, 'reliability_score': 0.8660638407637609}","{'current_stock': 52, 'minimum_stock': 40, 'maximum_stock': 761, 'reorder_point': 126, 'reorder_quantity': 269, 'stock_turnover_rate': 6.400074303952278, 'stock_value': 3339.0781772681507}","{'unit_price': 56.57, 'bulk_price': 45.25, 'wholesale_price': 39.6, 'price_history': {'last_month': 59.61, 'last_quarter': 57.35, 'last_year': 54.37}, 'price_trend': 'stable'}","{'quality_grade': 'A', 'freshness_score': 0.7710190653759912, 'consistency_score': 0.9878035624870967, 'quality_issues': ['variable freshness'], 'quality_improvements': []}","{'storage_location': 'Refrigeration', 'temperature_range': {'min': -18.82885275907271, 'max': 20.178922364920187}, 'humidity_range': {'min': 49.468423244344606, 'max': 75.52555599447359}, 'storage_requirements': ['store in cool place', 'protect from light']}","{'daily_usage': 21.115438172280438, 'weekly_usage': 88.07006332912465, 'monthly_usage': 1086.937698123294, 'usage_trend': 'decreasing', 'waste_rate': 0.07002237875955909, 'efficiency_score': 0.8034736717567363}","{'sustainability_rating': 0.9462540606755414, 'environmental_impact': 'high', 'sustainable_practices': ['reduced waste', 'organic production', 'recyclable packaging'], 'certifications': []}"
INV_2323,Premium Fish,"{'main_category': 'Produce', 'sub_category': 'Ambient', 'storage_type': 'Refrigeration', 'shelf_life': 169}","{'supplier_name': 'Supplier_929', 'supplier_type': 'Local Farm', 'delivery_frequency': 'Weekly', 'lead_time': 12, 'quality_rating': 4.837177653981781, 'reliability_score': 0.9582981700496787}","{'current_stock': 832, 'minimum_stock': 24, 'maximum_stock': 492, 'reorder_point': 95, 'reorder_quantity': 342, 'stock_turnover_rate': 1.0519479984924591, 'stock_value': 3929.2074900788443}","{'unit_price': 5.2, 'bulk_price': 4.16, 'wholesale_price': 3.64, 'price_history': {'last_month': 5.35, 'last_quarter': 6.04, 'last_year': 4.91}, 'price_trend': 'stable'}","{'quality_grade': 'B', 'freshness_score': 0.8691586103400684, 'consistency_score': 0.827932367648714, 'quality_issues': [], 'quality_improvements': ['quality control measures']}","{'storage_location': 'Wine Cellar', 'temperature_range': {'min': 8.597016706906928, 'max': 1.814350166936121}, 'humidity_range': {'min': 39.44586513530389, 'max': 71.30686879329019}, 'storage_requirements': ['keep dry']}","{'daily_usage': 69.39982873213367, 'weekly_usage': 45.542596052107186, 'monthly_usage': 330.6601334531993, 'usage_trend': 'decreasing', 'waste_rate': 0.09242285492332528, 'efficiency_score': 0.9725756863613024}","{'sustainability_rating': 0.740469022585404, 'environmental_impact': 'low', 'sustainable_practices': ['reduced waste', 'recyclable packaging'], 'certifications': []}"
INV_8964,Artisanal Spices,"{'main_category': 'Frozen', 'sub_category': 'Fresh', 'storage_type': 'Dry Storage', 'shelf_life': 94}","{'supplier_name': 'Supplier_325', 'supplier_type': 'Wholesale Distributor', 'delivery_frequency': 'Monthly', 'lead_time': 6, 'quality_rating': 4.250742114549145, 'reliability_score': 0.7311977941053552}","{'current_stock': 162, 'minimum_stock': 21, 'maximum_stock': 1438, 'reorder_point': 156, 'reorder_quantity': 270, 'stock_turnover_rate': 2.7425818845588528, 'stock_value': 9908.363925939335}","{'unit_price': 66.54, 'bulk_price': 53.23, 'wholesale_price': 46.58, 'price_history': {'last_month': 60.53, 'last_quarter': 61.79, 'last_year': 66.08}, 'price_trend': 'stable'}","{'quality_grade': 'C', 'freshness_score': 0.8631965218906522, 'consistency_score': 0.8880246735131924, 'quality_issues': ['occasional inconsistency', 'packaging issues'], 'quality_improvements': []}","{'storage_location': 'Dry Storage', 'temperature_range': {'min': 6.150861618864319, 'max': 6.292551347685061}, 'humidity_range': {'min': 46.34136408014686, 'max': 70.30133966242761}, 'storage_requirements': ['keep dry']}","{'daily_usage': 26.224472278618517, 'weekly_usage': 432.2043397484644, 'monthly_usage': 1915.8000093138658, 'usage_trend': 'increasing', 'waste_rate': 0.06215584782450239, 'efficiency_score': 0.8541757445711182}","{'sustainability_rating': 0.8486596603349956, 'environmental_impact': 'high', 'sustainable_practices': [], 'certifications': ['organic']}"
INV_7730,Premium Fruits,"{'main_category': 'Seafood', 'sub_category': 'Ambient', 'storage_type': 'Produce Storage', 'shelf_life': 140}","{'supplier_name': 'Supplier_313', 'supplier_type': 'Specialty Importer', 'delivery_frequency': 'Weekly', 'lead_time': 10, 'quality_rating': 4.913939311583503, 'reliability_score': 0.8157650042361971}","{'current_stock': 471, 'minimum_stock': 49, 'maximum_stock': 1914, 'reorder_point': 44, 'reorder_quantity': 293, 'stock_turnover_rate': 7.05131055548524, 'stock_value': 417.86947397131956}","{'unit_price': 40.98, 'bulk_price': 32.78, 'wholesale_price': 28.69, 'price_history': {'last_month': 37.33, 'last_quarter': 44.04, 'last_year': 37.99}, 'price_trend': 'increasing'}","{'quality_grade': 'A', 'freshness_score': 0.9736078107031514, 'consistency_score': 0.7304624707744561, 'quality_issues': ['occasional inconsistency'], 'quality_improvements': ['quality control measures']}","{'storage_location': 'Refrigeration', 'temperature_range': {'min': 1.0570694305243968, 'max': 3.5800793027639335}, 'humidity_range': {'min': 33.06811572476319, 'max': 70.4623809829538}, 'storage_requirements': ['keep dry']}","{'daily_usage': 99.1161652601698, 'weekly_usage': 174.02048345793258, 'monthly_usage': 462.4386420965211, 'usage_trend': 'stable', 'waste_rate': 0.0929379063441284, 'efficiency_score': 0.9742507663090493}","{'sustainability_rating': 0.08496637364330095, 'environmental_impact': 'low', 'sustainable_practices': ['local sourcing', 'reduced waste', 'recyclable packaging'], 'certifications': ['sustainable seafood']}"
INV_8711,Seasonal Beer,"{'main_category': 'Dairy', 'sub_category': 'Refrigerated', 'storage_type': 'Dry Storage', 'shelf_life': 149}","{'supplier_name': 'Supplier_627', 'supplier_type': 'Specialty Importer', 'delivery_frequency': 'Weekly', 'lead_time': 3, 'quality_rating': 3.4454842847073492, 'reliability_score': 0.7375595422721382}","{'current_stock': 64, 'minimum_stock': 41, 'maximum_stock': 1029, 'reorder_point': 27, 'reorder_quantity': 225, 'stock_turnover_rate': 3.4999587730940283, 'stock_value': 1951.07136056046}","{'unit_price': 63.93, 'bulk_price': 51.14, 'wholesale_price': 44.75, 'price_history': {'last_month': 69.31, 'last_quarter': 67.42, 'last_year': 58.59}, 'price_trend': 'decreasing'}","{'quality_grade': 'C', 'freshness_score': 0.8821478167905517, 'consistency_score': 0.7649784415350777, 'quality_issues': [], 'quality_improvements': ['faster delivery', 'better storage conditions']}","{'storage_location': 'Wine Cellar', 'temperature_range': {'min': -11.268449214434693, 'max': 6.042035073088906}, 'humidity_range': {'min': 31.32160240677543, 'max': 66.96267352241364}, 'storage_requirements': ['keep dry', 'protect from light']}","{'daily_usage': 67.94419513262898, 'weekly_usage': 307.07150073518596, 'monthly_usage': 889.4053759140655, 'usage_trend': 'increasing', 'waste_rate': 0.08185993550855991, 'efficiency_score': 0.7060817364016273}","{'sustainability_rating': 0.7467531433644826, 'environmental_impact': 'medium', 'sustainable_practices': ['recyclable packaging', 'local sourcing'], 'certifications': ['organic', 'rainforest alliance']}"
INV_1252,Organic Milk,"{'main_category': 'Seafood', 'sub_category': 'Refrigerated', 'storage_type': 'Refrigeration', 'shelf_life': 21}","{'supplier_name': 'Supplier_216', 'supplier_type': 'Local Producer', 'delivery_frequency': 'Weekly', 'lead_time': 4, 'quality_rating': 4.317619644215123, 'reliability_score': 0.750669214144894}","{'current_stock': 471, 'minimum_stock': 71, 'maximum_stock': 273, 'reorder_point': 116, 'reorder_quantity': 323, 'stock_turnover_rate': 8.356705030365738, 'stock_value': 9838.535363680923}","{'unit_price': 93.78, 'bulk_price': 75.02, 'wholesale_price': 65.64, 'price_history': {'last_month': 98.44, 'last_quarter': 103.52, 'last_year': 109.64}, 'price_trend': 'stable'}","{'quality_grade': 'C', 'freshness_score': 0.8276484226370113, 'consistency_score': 0.941741274612784, 'quality_issues': ['variable freshness', 'delivery delays'], 'quality_improvements': []}","{'storage_location': 'Produce Storage', 'temperature_range': {'min': -11.78102277534541, 'max': 6.661967857096177}, 'humidity_range': {'min': 48.01837530749198, 'max': 70.45258907658149}, 'storage_requirements': ['keep dry']}","{'daily_usage': 25.48710885312623, 'weekly_usage': 375.86549370458397, 'monthly_usage': 1964.8689631617149, 'usage_trend': 'stable', 'waste_rate': 0.05953847532722571, 'efficiency_score': 0.7960926415362299}","{'sustainability_rating': 0.839997049103959, 'environmental_impact': 'low', 'sustainable_practices': [], 'certifications': []}"
