item_id,name,category,description,ingredients,nutritional_info,pricing,preparation,allergen_info,dietary_info,seasonal_availability,popularity_metrics,cost_analysis,wine_pairings,modification_options
ITEM_7773,Braised Beef Modern Italian Style,"{'main_category': 'Beverages', 'sub_category': 'Meat', 'course_type': 'Starter', 'spice_level': 'Medium', 'preparation_time': 15}","A braised dish featuring local vegetables, with savory flavors and creamy textures.","{'main_ingredients': ['salmon fillet', 'mushrooms', 'quinoa'], 'vegetables': ['broccoli', 'bell peppers', 'zucchini', 'asparagus'], 'herbs_and_spices': ['rosemary', 'thyme', 'coriander', 'cumin', 'paprika'], 'sauces_and_condiments': ['soy sauce', 'olive oil', 'hot sauce'], 'garnishes': ['microgreens', 'seeds']}","{'calories': 316, 'protein': 23, 'carbohydrates': 34, 'fat': 11, 'fiber': 10, 'sugar': 7, 'sodium': 376, 'allergens': ['nuts']}","{'base_price': 21.55, 'happy_hour_price': 17.24, 'weekend_price': 23.7, 'special_occasion_price': 25.86, 'portion_sizes': {'small': 15.08, 'regular': 21.545971876007197, 'large': 28.01}}","{'prep_time': 15, 'cook_time': 27, 'total_time': 74, 'difficulty_level': 'Medium', 'cooking_methods': ['baking', 'braising', 'sautéing'], 'equipment_needed': ['stovetop', 'grill']}","{'contains': ['dairy'], 'may_contain': ['fish', 'eggs'], 'preparation_notes': ['separate preparation area available']}","{'suitable_for': ['halal', 'vegetarian'], 'modifications_available': ['can be made vegetarian'], 'nutritional_highlights': ['high fiber', 'high protein']}","{'available_seasons': ['spring', 'winter', 'fall', 'summer'], 'peak_season': 'summer', 'limited_time': False, 'seasonal_ingredients': ['truffles']}","{'order_frequency': 0.9852002517671598, 'customer_rating': 3.8252330483588057, 'review_count': 63, 'trending_score': 0.09141088575904, 'repeat_order_rate': 0.6388086130039303, 'social_media_mentions': 677}","{'ingredient_cost': 24.957656793290145, 'labor_cost': 3.542672544990805, 'overhead_cost': 3.339305453012811, 'total_cost': 9.838623713096414, 'profit_margin': 0.3396850375483117, 'cost_trends': {'ingredient_cost_trend': -0.02884483799966127, 'labor_cost_trend': -0.014479902894791799, 'overhead_cost_trend': -0.02614137108172955}}","{'recommended_wines': ['Cabernet Sauvignon'], 'pairing_notes': ['balances the spice'], 'alternative_beverages': ['cocktail']}","{'available_modifications': ['dairy-free option'], 'substitution_options': ['vegetable substitution'], 'customization_notes': []}"
ITEM_3374,Braised Beef Classic Thai Style,"{'main_category': 'Desserts', 'sub_category': 'Vegetarian', 'course_type': 'Main', 'spice_level': 'Spicy', 'preparation_time': 44}","A braised dish featuring fresh herbs, with spicy flavors and crunchy textures.","{'main_ingredients': ['chicken breast', 'tofu'], 'vegetables': ['broccoli', 'spinach', 'asparagus'], 'herbs_and_spices': ['basil', 'coriander', 'cumin', 'rosemary'], 'sauces_and_condiments': ['hot sauce', 'soy sauce'], 'garnishes': ['toasted nuts', 'seeds']}","{'calories': 379, 'protein': 37, 'carbohydrates': 43, 'fat': 8, 'fiber': 12, 'sugar': 7, 'sodium': 426, 'allergens': ['soy', 'shellfish', 'nuts']}","{'base_price': 26.65, 'happy_hour_price': 21.32, 'weekend_price': 29.31, 'special_occasion_price': 31.98, 'portion_sizes': {'small': 18.65, 'regular': 26.649841874005446, 'large': 34.64}}","{'prep_time': 12, 'cook_time': 40, 'total_time': 45, 'difficulty_level': 'Hard', 'cooking_methods': ['frying'], 'equipment_needed': ['oven']}","{'contains': ['fish', 'nuts', 'shellfish'], 'may_contain': ['dairy', 'shellfish'], 'preparation_notes': ['prepared in shared kitchen', 'separate preparation area available']}","{'suitable_for': ['halal'], 'modifications_available': ['can be made dairy-free', 'can be made vegetarian', 'can be made vegan'], 'nutritional_highlights': ['high protein', 'rich in vitamins']}","{'available_seasons': ['winter'], 'peak_season': 'summer', 'limited_time': False, 'seasonal_ingredients': []}","{'order_frequency': 0.724035529647417, 'customer_rating': 4.9305360445054385, 'review_count': 654, 'trending_score': 0.46574438271029905, 'repeat_order_rate': 0.5654661871469688, 'social_media_mentions': 74}","{'ingredient_cost': 17.108488870998322, 'labor_cost': 4.120441690539704, 'overhead_cost': 4.7339169411479505, 'total_cost': 21.581436713441338, 'profit_margin': 0.2527300915724599, 'cost_trends': {'ingredient_cost_trend': -0.053411603640021225, 'labor_cost_trend': -0.0026940305149107946, 'overhead_cost_trend': -0.03676836142247452}}","{'recommended_wines': ['Syrah'], 'pairing_notes': ['complements the rich flavors'], 'alternative_beverages': ['cocktail']}","{'available_modifications': ['dairy-free option', 'no onions', 'gluten-free option'], 'substitution_options': ['grain substitution'], 'customization_notes': ['can be made spicier', 'can be made vegan']}"
ITEM_1178,Grilled Tofu Contemporary Mediterranean Style,"{'main_category': 'Sides', 'sub_category': 'Vegan', 'course_type': 'Main', 'spice_level': 'Medium', 'preparation_time': 38}","A slow-cooked dish featuring premium cuts, with aromatic flavors and crunchy textures.","{'main_ingredients': ['rice', 'mushrooms'], 'vegetables': ['asparagus', 'bell peppers'], 'herbs_and_spices': ['cumin', 'rosemary'], 'sauces_and_condiments': ['hot sauce'], 'garnishes': []}","{'calories': 437, 'protein': 21, 'carbohydrates': 57, 'fat': 6, 'fiber': 15, 'sugar': 5, 'sodium': 535, 'allergens': ['nuts', 'wheat']}","{'base_price': 42.24, 'happy_hour_price': 33.8, 'weekend_price': 46.47, 'special_occasion_price': 50.69, 'portion_sizes': {'small': 29.57, 'regular': 42.24469246513672, 'large': 54.92}}","{'prep_time': 10, 'cook_time': 39, 'total_time': 67, 'difficulty_level': 'Medium', 'cooking_methods': ['baking', 'braising'], 'equipment_needed': ['food processor']}","{'contains': ['nuts', 'soy', 'dairy'], 'may_contain': [], 'preparation_notes': ['cross-contamination possible']}","{'suitable_for': ['dairy-free'], 'modifications_available': [], 'nutritional_highlights': ['high protein', 'low carb']}","{'available_seasons': ['spring', 'fall', 'summer', 'winter'], 'peak_season': 'winter', 'limited_time': False, 'seasonal_ingredients': []}","{'order_frequency': 0.17163147470299794, 'customer_rating': 4.849822242768497, 'review_count': 105, 'trending_score': 0.07928960681187547, 'repeat_order_rate': 0.2206041199712761, 'social_media_mentions': 330}","{'ingredient_cost': 14.67321657423067, 'labor_cost': 9.572497954156159, 'overhead_cost': 3.143146199871281, 'total_cost': 10.73231537990327, 'profit_margin': 0.35072469305566917, 'cost_trends': {'ingredient_cost_trend': 0.06262106966199091, 'labor_cost_trend': -0.016419293832372416, 'overhead_cost_trend': -0.03827385583866262}}","{'recommended_wines': ['Merlot'], 'pairing_notes': ['enhances the umami notes'], 'alternative_beverages': ['non-alcoholic option']}","{'available_modifications': ['no onions', 'dairy-free option', 'no sauce'], 'substitution_options': [], 'customization_notes': []}"
ITEM_4174,Grilled Tofu Contemporary Mediterranean Style,"{'main_category': 'Beverages', 'sub_category': 'Vegan', 'course_type': 'Starter', 'spice_level': 'Mild', 'preparation_time': 25}","A grilled dish featuring local vegetables, with rich flavors and crispy textures.","{'main_ingredients': ['salmon fillet', 'tofu'], 'vegetables': ['kale'], 'herbs_and_spices': ['cumin', 'oregano', 'basil'], 'sauces_and_condiments': ['hot sauce', 'soy sauce', 'teriyaki sauce'], 'garnishes': ['microgreens']}","{'calories': 747, 'protein': 20, 'carbohydrates': 34, 'fat': 12, 'fiber': 3, 'sugar': 6, 'sodium': 146, 'allergens': ['dairy', 'eggs']}","{'base_price': 15.39, 'happy_hour_price': 12.31, 'weekend_price': 16.93, 'special_occasion_price': 18.46, 'portion_sizes': {'small': 10.77, 'regular': 15.386722089282499, 'large': 20.0}}","{'prep_time': 18, 'cook_time': 43, 'total_time': 65, 'difficulty_level': 'Hard', 'cooking_methods': ['sautéing'], 'equipment_needed': ['blender', 'mixer', 'oven']}","{'contains': ['dairy', 'wheat', 'nuts'], 'may_contain': ['wheat', 'soy'], 'preparation_notes': ['separate preparation area available', 'prepared in shared kitchen']}","{'suitable_for': ['dairy-free', 'gluten-free', 'kosher'], 'modifications_available': ['can be made vegetarian', 'can be made gluten-free', 'can be made dairy-free'], 'nutritional_highlights': ['low fat']}","{'available_seasons': ['summer', 'fall', 'spring', 'winter'], 'peak_season': 'spring', 'limited_time': False, 'seasonal_ingredients': ['morel mushrooms', 'berries', 'pumpkin']}","{'order_frequency': 0.8675089058103385, 'customer_rating': 3.8534929173038686, 'review_count': 218, 'trending_score': 0.8701055648062457, 'repeat_order_rate': 0.25723858628503216, 'social_media_mentions': 658}","{'ingredient_cost': 11.739204043187366, 'labor_cost': 7.370730374000128, 'overhead_cost': 4.920262287581103, 'total_cost': 22.16588770293671, 'profit_margin': 0.33307437441317267, 'cost_trends': {'ingredient_cost_trend': -0.0660755105549324, 'labor_cost_trend': -0.012795255353547218, 'overhead_cost_trend': -0.04276148082144651}}","{'recommended_wines': ['Syrah'], 'pairing_notes': ['enhances the umami notes'], 'alternative_beverages': ['cocktail']}","{'available_modifications': ['dairy-free option', 'gluten-free option', 'extra sauce'], 'substitution_options': [], 'customization_notes': ['can be made vegan', 'can be made spicier']}"
ITEM_1039,Roasted Mushroom Contemporary Mediterranean Style,"{'main_category': 'Main Courses', 'sub_category': 'Seafood', 'course_type': 'Main', 'spice_level': 'Spicy', 'preparation_time': 29}","A roasted dish featuring fresh herbs, with savory flavors and tender textures.","{'main_ingredients': ['beef tenderloin', 'tofu'], 'vegetables': ['kale', 'broccoli', 'bell peppers', 'spinach'], 'herbs_and_spices': ['basil', 'coriander', 'cumin'], 'sauces_and_condiments': ['hot sauce'], 'garnishes': ['microgreens', 'fresh herbs']}","{'calories': 387, 'protein': 11, 'carbohydrates': 59, 'fat': 14, 'fiber': 4, 'sugar': 16, 'sodium': 181, 'allergens': ['eggs', 'fish']}","{'base_price': 11.53, 'happy_hour_price': 9.23, 'weekend_price': 12.69, 'special_occasion_price': 13.84, 'portion_sizes': {'small': 8.07, 'regular': 11.533052350638545, 'large': 14.99}}","{'prep_time': 5, 'cook_time': 10, 'total_time': 61, 'difficulty_level': 'Medium', 'cooking_methods': ['steaming', 'sautéing'], 'equipment_needed': ['mixer', 'food processor']}","{'contains': ['soy', 'wheat', 'eggs'], 'may_contain': ['wheat', 'nuts'], 'preparation_notes': []}","{'suitable_for': ['gluten-free'], 'modifications_available': ['can be made dairy-free'], 'nutritional_highlights': ['rich in vitamins']}","{'available_seasons': ['winter'], 'peak_season': 'winter', 'limited_time': True, 'seasonal_ingredients': ['morel mushrooms']}","{'order_frequency': 0.40390796993049416, 'customer_rating': 4.872061922336288, 'review_count': 438, 'trending_score': 0.11485952012872347, 'repeat_order_rate': 0.6244708287209139, 'social_media_mentions': 670}","{'ingredient_cost': 17.9578360875785, 'labor_cost': 5.014175954356916, 'overhead_cost': 1.7166110472870657, 'total_cost': 23.6417513151206, 'profit_margin': 0.3998005617207794, 'cost_trends': {'ingredient_cost_trend': -0.03846358193740569, 'labor_cost_trend': -0.004647729966901812, 'overhead_cost_trend': -0.034353389511681307}}","{'recommended_wines': ['Syrah', 'Merlot'], 'pairing_notes': ['complements the rich flavors', 'contrasts with the sweetness'], 'alternative_beverages': []}","{'available_modifications': ['dairy-free option', 'no sauce', 'no onions', 'mild'], 'substitution_options': ['grain substitution'], 'customization_notes': ['can be made vegan', 'can be made milder']}"
ITEM_9149,Roasted Salmon Contemporary French Style,"{'main_category': 'Appetizers', 'sub_category': 'Gluten-Free', 'course_type': 'Drink', 'spice_level': 'Spicy', 'preparation_time': 26}","A slow-cooked dish featuring premium cuts, with spicy flavors and crispy textures.","{'main_ingredients': ['salmon fillet', 'mushrooms', 'tofu'], 'vegetables': ['kale', 'spinach', 'zucchini'], 'herbs_and_spices': ['rosemary', 'paprika', 'oregano', 'coriander', 'cumin'], 'sauces_and_condiments': ['hot sauce', 'soy sauce', 'balsamic vinegar'], 'garnishes': []}","{'calories': 642, 'protein': 19, 'carbohydrates': 21, 'fat': 21, 'fiber': 13, 'sugar': 20, 'sodium': 479, 'allergens': ['soy']}","{'base_price': 17.88, 'happy_hour_price': 14.31, 'weekend_price': 19.67, 'special_occasion_price': 21.46, 'portion_sizes': {'small': 12.52, 'regular': 17.884473160071764, 'large': 23.25}}","{'prep_time': 18, 'cook_time': 36, 'total_time': 69, 'difficulty_level': 'Hard', 'cooking_methods': ['braising', 'sautéing'], 'equipment_needed': ['oven', 'food processor']}","{'contains': ['eggs'], 'may_contain': [], 'preparation_notes': ['cross-contamination possible', 'prepared in shared kitchen']}","{'suitable_for': [], 'modifications_available': ['can be made gluten-free', 'can be made vegetarian', 'can be made vegan'], 'nutritional_highlights': ['rich in vitamins']}","{'available_seasons': ['spring'], 'peak_season': 'fall', 'limited_time': False, 'seasonal_ingredients': ['morel mushrooms', 'truffles', 'berries']}","{'order_frequency': 0.6008950721491255, 'customer_rating': 4.373891324574592, 'review_count': 551, 'trending_score': 0.26577357546731806, 'repeat_order_rate': 0.5213894589128463, 'social_media_mentions': 207}","{'ingredient_cost': 20.710794691713964, 'labor_cost': 7.150203839494278, 'overhead_cost': 3.10733215087952, 'total_cost': 25.929358255701917, 'profit_margin': 0.26574154132646516, 'cost_trends': {'ingredient_cost_trend': -0.06764395978701326, 'labor_cost_trend': 0.017185318859675627, 'overhead_cost_trend': 0.030791739664197654}}","{'recommended_wines': ['Sauvignon Blanc', 'Merlot', 'Syrah'], 'pairing_notes': ['enhances the umami notes'], 'alternative_beverages': []}","{'available_modifications': ['extra sauce'], 'substitution_options': ['protein substitution', 'grain substitution'], 'customization_notes': ['can be made spicier', 'can be made vegan']}"
ITEM_3030,Seared Tofu Contemporary Indian Style,"{'main_category': 'Beverages', 'sub_category': 'Vegetarian', 'course_type': 'Dessert', 'spice_level': 'Medium', 'preparation_time': 34}","A grilled dish featuring local vegetables, with sweet flavors and crispy textures.","{'main_ingredients': ['pasta', 'tofu'], 'vegetables': ['carrots', 'kale'], 'herbs_and_spices': ['coriander', 'basil', 'cumin', 'paprika', 'rosemary'], 'sauces_and_condiments': ['balsamic vinegar'], 'garnishes': ['seeds']}","{'calories': 264, 'protein': 34, 'carbohydrates': 58, 'fat': 27, 'fiber': 2, 'sugar': 8, 'sodium': 928, 'allergens': ['eggs', 'nuts', 'dairy']}","{'base_price': 47.44, 'happy_hour_price': 37.95, 'weekend_price': 52.18, 'special_occasion_price': 56.93, 'portion_sizes': {'small': 33.21, 'regular': 47.43863637527484, 'large': 61.67}}","{'prep_time': 9, 'cook_time': 44, 'total_time': 52, 'difficulty_level': 'Easy', 'cooking_methods': ['steaming', 'roasting'], 'equipment_needed': ['oven', 'blender']}","{'contains': [], 'may_contain': ['wheat', 'soy'], 'preparation_notes': ['prepared in shared kitchen', 'cross-contamination possible']}","{'suitable_for': ['vegan', 'halal'], 'modifications_available': ['can be made gluten-free', 'can be made vegan', 'can be made dairy-free'], 'nutritional_highlights': ['high fiber', 'low fat']}","{'available_seasons': ['fall'], 'peak_season': 'fall', 'limited_time': False, 'seasonal_ingredients': ['pumpkin', 'berries']}","{'order_frequency': 0.480250150555815, 'customer_rating': 4.605279923641207, 'review_count': 285, 'trending_score': 0.6784519624267767, 'repeat_order_rate': 0.3708322110575146, 'social_media_mentions': 507}","{'ingredient_cost': 11.366582664907753, 'labor_cost': 6.721097111663879, 'overhead_cost': 2.313683363561104, 'total_cost': 19.62178466795524, 'profit_margin': 0.3792867366282639, 'cost_trends': {'ingredient_cost_trend': -0.030659248030680944, 'labor_cost_trend': 0.008250076000638484, 'overhead_cost_trend': -0.02640796142346309}}","{'recommended_wines': ['Chardonnay', 'Cabernet Sauvignon', 'Merlot'], 'pairing_notes': ['contrasts with the sweetness'], 'alternative_beverages': ['cocktail', 'craft beer']}","{'available_modifications': ['gluten-free option', 'mild', 'extra sauce', 'extra spicy', 'no sauce'], 'substitution_options': ['grain substitution', 'vegetable substitution'], 'customization_notes': ['can be made vegetarian', 'can be made vegan']}"
ITEM_9360,Steamed Shrimp Classic Thai Style,"{'main_category': 'Beverages', 'sub_category': 'Vegetarian', 'course_type': 'Dessert', 'spice_level': 'Mild', 'preparation_time': 19}","A grilled dish featuring fresh herbs, with sweet flavors and tender textures.","{'main_ingredients': ['salmon fillet', 'pasta'], 'vegetables': ['kale', 'zucchini'], 'herbs_and_spices': ['thyme', 'paprika', 'rosemary'], 'sauces_and_condiments': ['olive oil', 'soy sauce', 'hot sauce'], 'garnishes': ['fresh herbs']}","{'calories': 663, 'protein': 40, 'carbohydrates': 34, 'fat': 27, 'fiber': 2, 'sugar': 16, 'sodium': 337, 'allergens': ['nuts', 'fish', 'soy']}","{'base_price': 41.41, 'happy_hour_price': 33.13, 'weekend_price': 45.55, 'special_occasion_price': 49.69, 'portion_sizes': {'small': 28.99, 'regular': 41.4124577208895, 'large': 53.84}}","{'prep_time': 23, 'cook_time': 43, 'total_time': 47, 'difficulty_level': 'Easy', 'cooking_methods': ['braising', 'sautéing'], 'equipment_needed': ['food processor']}","{'contains': [], 'may_contain': [], 'preparation_notes': []}","{'suitable_for': ['dairy-free'], 'modifications_available': ['can be made gluten-free', 'can be made dairy-free', 'can be made vegan'], 'nutritional_highlights': []}","{'available_seasons': ['spring', 'winter'], 'peak_season': 'spring', 'limited_time': True, 'seasonal_ingredients': []}","{'order_frequency': 0.9832281691069952, 'customer_rating': 4.498539045129934, 'review_count': 940, 'trending_score': 0.10266710472366458, 'repeat_order_rate': 0.21545867376735772, 'social_media_mentions': 273}","{'ingredient_cost': 11.674196216894998, 'labor_cost': 7.651026456275491, 'overhead_cost': 3.377869161222124, 'total_cost': 37.07493934187912, 'profit_margin': 0.23085366768584104, 'cost_trends': {'ingredient_cost_trend': -0.07704993846659572, 'labor_cost_trend': -0.03809313608291929, 'overhead_cost_trend': -0.030049751268923064}}","{'recommended_wines': ['Syrah', 'Cabernet Sauvignon'], 'pairing_notes': ['contrasts with the sweetness'], 'alternative_beverages': []}","{'available_modifications': ['no sauce', 'mild', 'extra sauce'], 'substitution_options': [], 'customization_notes': []}"
ITEM_8546,Braised Tofu Contemporary Mediterranean Style,"{'main_category': 'Desserts', 'sub_category': 'Gluten-Free', 'course_type': 'Dessert', 'spice_level': 'Medium', 'preparation_time': 32}","A braised dish featuring fresh herbs, with savory flavors and creamy textures.","{'main_ingredients': ['mushrooms', 'rice'], 'vegetables': ['kale', 'bell peppers'], 'herbs_and_spices': ['oregano', 'thyme', 'coriander', 'paprika', 'basil'], 'sauces_and_condiments': ['balsamic vinegar'], 'garnishes': ['microgreens']}","{'calories': 258, 'protein': 38, 'carbohydrates': 28, 'fat': 20, 'fiber': 11, 'sugar': 19, 'sodium': 914, 'allergens': []}","{'base_price': 30.71, 'happy_hour_price': 24.57, 'weekend_price': 33.78, 'special_occasion_price': 36.85, 'portion_sizes': {'small': 21.5, 'regular': 30.707724858323107, 'large': 39.92}}","{'prep_time': 9, 'cook_time': 23, 'total_time': 75, 'difficulty_level': 'Easy', 'cooking_methods': ['frying', 'baking'], 'equipment_needed': ['mixer', 'grill']}","{'contains': ['fish', 'nuts', 'eggs'], 'may_contain': ['nuts', 'soy'], 'preparation_notes': ['prepared in shared kitchen']}","{'suitable_for': ['dairy-free'], 'modifications_available': ['can be made gluten-free'], 'nutritional_highlights': ['high fiber', 'low carb']}","{'available_seasons': ['spring', 'summer', 'winter'], 'peak_season': 'spring', 'limited_time': False, 'seasonal_ingredients': ['truffles', 'citrus']}","{'order_frequency': 0.7707399674849091, 'customer_rating': 4.493799167070201, 'review_count': 445, 'trending_score': 0.9638652333971245, 'repeat_order_rate': 0.7020658802629541, 'social_media_mentions': 450}","{'ingredient_cost': 13.636861599536257, 'labor_cost': 8.977522562219399, 'overhead_cost': 3.9856566554496027, 'total_cost': 10.590749701088193, 'profit_margin': 0.23235529223540888, 'cost_trends': {'ingredient_cost_trend': -0.06963634225504421, 'labor_cost_trend': 0.033622729754195946, 'overhead_cost_trend': 0.035427926434672005}}","{'recommended_wines': ['Syrah'], 'pairing_notes': ['complements the rich flavors'], 'alternative_beverages': []}","{'available_modifications': [], 'substitution_options': [], 'customization_notes': ['can be made spicier', 'can be made milder']}"
ITEM_6468,Steamed Shrimp Contemporary Japanese Style,"{'main_category': 'Beverages', 'sub_category': 'Meat', 'course_type': 'Dessert', 'spice_level': 'Mild', 'preparation_time': 26}","A grilled dish featuring fresh herbs, with sweet flavors and creamy textures.","{'main_ingredients': ['tofu'], 'vegetables': ['kale', 'bell peppers', 'zucchini'], 'herbs_and_spices': ['thyme', 'rosemary', 'paprika', 'oregano'], 'sauces_and_condiments': ['teriyaki sauce', 'soy sauce', 'olive oil'], 'garnishes': ['toasted nuts']}","{'calories': 612, 'protein': 32, 'carbohydrates': 34, 'fat': 18, 'fiber': 15, 'sugar': 2, 'sodium': 717, 'allergens': ['shellfish', 'eggs', 'fish']}","{'base_price': 33.61, 'happy_hour_price': 26.89, 'weekend_price': 36.97, 'special_occasion_price': 40.33, 'portion_sizes': {'small': 23.52, 'regular': 33.606546323736644, 'large': 43.69}}","{'prep_time': 18, 'cook_time': 16, 'total_time': 35, 'difficulty_level': 'Easy', 'cooking_methods': ['braising'], 'equipment_needed': ['stovetop', 'blender', 'oven']}","{'contains': ['soy', 'nuts', 'fish'], 'may_contain': ['soy'], 'preparation_notes': []}","{'suitable_for': ['vegan', 'gluten-free'], 'modifications_available': ['can be made vegetarian', 'can be made dairy-free'], 'nutritional_highlights': []}","{'available_seasons': ['spring'], 'peak_season': 'spring', 'limited_time': True, 'seasonal_ingredients': []}","{'order_frequency': 0.4469551480579492, 'customer_rating': 4.530540094870564, 'review_count': 588, 'trending_score': 0.22976308818145974, 'repeat_order_rate': 0.38616049190584967, 'social_media_mentions': 218}","{'ingredient_cost': 13.011595161011691, 'labor_cost': 2.2899626901845336, 'overhead_cost': 3.2655516812698813, 'total_cost': 25.61483003650734, 'profit_margin': 0.35438356494155293, 'cost_trends': {'ingredient_cost_trend': -0.04885539766499765, 'labor_cost_trend': 0.04303231633246435, 'overhead_cost_trend': -0.005250391631983507}}","{'recommended_wines': ['Sauvignon Blanc', 'Chardonnay', 'Merlot'], 'pairing_notes': ['complements the rich flavors'], 'alternative_beverages': ['craft beer', 'cocktail']}","{'available_modifications': ['gluten-free option'], 'substitution_options': ['grain substitution', 'vegetable substitution', 'sauce substitution'], 'customization_notes': ['can be made vegetarian', 'can be made vegan']}"
